Name,Value,Start,Size,Color
uchar intro_1P[52],,208,52,Fg: Bg:0x00007F
uchar intro_2P[52],,260,52,Fg: Bg:0x7F0000
uint intro_2_1P[13],,312,52,Fg: Bg:0x00BFBF
char intro_2_2P[52],,364,52,Fg: Bg:0x00BF00
char intro_3_1P[52],,416,52,Fg: Bg:0xBFBF00
char intro_3_2P[52],,468,52,Fg: Bg:0xBF00BF
char victory[52],,520,52,Fg: Bg:0x003F7F
char lose[52],,572,52,Fg: Bg:0x00007F
char trans_in[52],,624,52,Fg: Bg:0x005FBF
char trans_result[52],,676,52,Fg: Bg:0x7F007F
char return_in[52],,728,52,Fg: Bg:0xBF0000
char return_out[52],,780,52,Fg: Bg:0x00BFBF
char trans_in_second_camera_broly[52],,832,52,Fg: Bg:0x0000BF
char Attack_0[52],,884,52,Fg: Bg:0x00BF00
char Attack_1[52],,936,52,Fg: Bg:0x7F0000
char Attack_2[52],,988,52,Fg: Bg:0xBF005F
char Attack_3[52],,1040,52,Fg: Bg:0x00007F
char Attack_4[52],,1092,52,Fg: Bg:0x7F0000
char Attack_5[52],,1144,52,Fg: Bg:0x00BFBF
char Attack_6[52],,1196,52,Fg: Bg:0x00BF00
char Attack_7[52],,1248,52,Fg: Bg:0xBFBF00
char Attack_8[52],,1300,52,Fg: Bg:0xBF00BF
char Attack_9[52],,1352,52,Fg: Bg:0x003F7F
char Attack_10[52],,1404,52,Fg: Bg:0x00007F
char Attack_11[52],,1456,52,Fg: Bg:0x005FBF
char Attack_12[52],,1508,52,Fg: Bg:0x7F007F
char Attack_13[52],,1560,52,Fg: Bg:0xBF0000
char UNK[52],,1612,52,Fg: Bg:0x00BFBF
